No.,Name,Hexagram,Binary,Upper,Upper bin,Lower,Lower bin
1,乾 Force,䷀,111111,☰,111,☰,111
2,坤 Field,䷁,000000,☷,000,☷,000
3,屯 Sprouting,䷂,100010,☵,010,☳,100
4,蒙 Enveloping,䷃,010001,☶,001,☵,010
5,需 Attending,䷄,111010,☵,010,☰,111
6,訟 Conflict,䷅,010111,☰,111,☵,010
7,師 Army,䷆,010000,☷,000,☵,010
8,比 Grouping,䷇,000010,☵,010,☷,000
9,小畜 Taming Small,䷈,111011,☴,011,☰,111
10,履 Treading,䷉,110111,☰,111,☱,110
11,泰 Peace,䷊,111000,☷,000,☰,111
12,否 Standstill,䷋,000111,☰,111,☷,000
13,同人 Fellowship,䷌,101111,☰,111,☲,101
14,大有 Great Possession,䷍,111101,☲,101,☰,111
15,謙 Modesty,䷎,001000,☷,000,☶,001
16,豫 Enthusiasm,䷏,000100,☳,100,☷,000
17,隨 Following,䷐,100110,☱,110,☳,100
18,蠱 Decay Work,䷑,011001,☶,001,☴,011
19,臨 Approach,䷒,110000,☷,000,☱,110
20,觀 Contemplation,䷓,000011,☴,011,☷,000
21,噬嗑 Biting Through,䷔,100101,☲,101,☳,100
22,賁 Grace,䷕,101001,☶,001,☲,101
23,剝 Splitting Apart,䷖,000001,☶,001,☷,000
24,復 Return,䷗,100000,☷,000,☳,100
25,無妄 Innocence,䷘,100111,☰,111,☳,100
26,大畜 Great Taming,䷙,111001,☶,001,☰,111
27,頤 Mouth Corners,䷚,100001,☶,001,☳,100
28,大過 Great Exceeding,䷛,011110,☱,110,☴,011
29,坎 Gorge,䷜,010010,☵,010,☵,010
30,離 Radiance,䷝,101101,☲,101,☲,101
31,咸 Influence,䷞,001110,☱,110,☶,001
32,恒 Duration,䷟,011100,☳,100,☴,011
33,遯 Retreat,䷠,001111,☰,111,☶,001
34,大壯 Great Invigorating,䷡,111100,☳,100,☰,111
35,晉 Prospering,䷢,000101,☲,101,☷,000
36,明夷 Darkening of the Light,䷣,101000,☷,000,☲,101
37,家人 Dwelling People,䷤,101011,☴,011,☲,101
38,睽 Opposition,䷥,110101,☲,101,☱,110
39,蹇 Obstruction,䷦,001010,☵,010,☶,001
40,解 Deliverance,䷧,010100,☳,100,☵,010
41,損 Decrease,䷨,110001,☶,001,☱,110
42,益 Increase,䷩,100011,☴,011,☳,100
43,夬 Breakthrough,䷪,111110,☱,110,☰,111
44,姤 Meeting,䷫,011111,☰,111,☴,011
45,萃 Gathering Together,䷬,000110,☱,110,☷,000
46,升 Pushing Upward,䷭,011000,☷,000,☴,011
47,困 Oppression,䷮,010110,☱,110,☵,010
48,井 The Well,䷯,011010,☵,010,☴,011
49,革 Revolution,䷰,101110,☱,110,☲,101
50,鼎 The Cauldron,䷱,011101,☲,101,☴,011
51,震 The Arousing,䷲,100100,☳,100,☳,100
52,艮 Keeping Still,䷳,001001,☶,001,☶,001
53,漸 Development,䷴,001011,☴,011,☶,001
54,歸妹 Converting the Maiden,䷵,110100,☳,100,☱,110
55,豐 Abundance,䷶,101100,☳,100,☲,101
56,旅 Sojourning,䷷,001101,☲,101,☶,001
57,巽 The Gentle,䷸,011011,☴,011,☴,011
58,兌 Joyous,䷹,110110,☱,110,☱,110
59,渙 Dispersion,䷺,010011,☴,011,☵,010
60,節 Limitation,䷻,110010,☵,010,☱,110
61,中孚 Inner Truth,䷼,110011,☴,011,☱,110
62,小過 Small Exceeding,䷽,001100,☳,100,☶,001
63,既濟 After Completion,䷾,101010,☵,010,☲,101
64,未濟 Before Completion,䷿,010101,☲,101,☵,010
